,id,ano,metascore,title
455,50130,2011,77,Mafia II
457,47540,2010,83,Puzzle Quest 2
458,50510,2010,72,Burn Zombie Burn!
464,48800,2010,49,Ship Simulator Extremes
465,22600,2010,79,Worms Reloaded
466,46770,2010,38,Making History II: The War of the World
468,42960,2010,75,Victoria II
475,4850,2002,60,Cossacks: Back to War
480,70300,2010,81,VVVVVV
482,57300,2010,85,Amnesia: The Dark Descent
483,70400,2010,82,Recettear: An Item Shop's Tale
490,57620,2010,66,Patrician IV - Steam Special Edition
492,63910,2010,78,King's Bounty: Crossworlds
494,8930,2010,90,Sid Meier's Civilization® V
496,41060,2002,85,Serious Sam Classic: The Second Encounter
498,9940,2010,52,Blade Kitten
499,22650,2010,63,Alien Breed 2: Assault
501,50620,2010,83,Darksiders™
502,2840,1999,67,X: Beyond the Frontier
503,42920,2010,71,The Kings' Crusade
504,29700,2007,79,Guild Wars: Eye of the North®
511,47790,2010,72,Medal of Honor™
512,46450,2010,65,Grotesque Tactics: Evil Heroes
513,45750,2010,63,Lost Planet® 2
514,57800,2010,62,Doc Clock: The Toasted Sandwich of Time
515,22380,2010,84,Fallout: New Vegas
518,50000,2010,80,Nimbus
520,18040,2010,77,DeathSpank
532,6120,2010,67,Shank
533,35460,2010,68,The Ball
534,32500,2010,59,STAR WARS™: The Force Unleashed™ II
536,33570,2010,75,Patrician III
545,33990,2010,63,Alternativa
548,42700,2010,81,Call of Duty®: Black Ops
555,31290,2010,74,Back to the Future: The Game
556,12100,2002,93,Grand Theft Auto III
557,12120,2005,93,Grand Theft Auto: San Andreas
562,12110,2003,94,Grand Theft Auto: Vice City
563,33390,2011,72,Zeit²
564,92300,2011,68,A.R.E.S.: Extinction Agenda
565,80000,2011,48,APOX
566,47780,2011,87,Dead Space™ 2
568,65080,2011,69,Kaptain Brawe: A Brawe New World
570,63200,2011,82,Monday Night Combat
584,47890,2009,86,The Sims™ 3
587,47892,2009,81,The Sims™ 3 World Adventures
588,47894,2010,74,The Sims™ 3 Late Night
589,47893,2010,74,The Sims™ 3 Ambitions
594,57700,2011,76,Who's That Flying?!
597,7520,2011,76,Two Worlds II HD
598,99200,2011,71,YOU DON’T KNOW JACK®
603,57650,2011,65,DUNGEONS - Steam Special Edition
606,47800,2011,77,RISK™: Factions
609,55100,2011,70,Homefront
610,80200,2011,70,Fate of the World
617,39120,2013,84,RIFT
621,92700,2011,34,Shadow Harvest: Phantom Ops
626,91200,2011,80,Anomaly: Warzone Earth
627,46790,2010,66,Armada 2526
628,73170,2011,81,Darkest Hour: A Hearts of Iron Game
630,70000,2011,53,Dino D-Day
631,57730,2011,67,Patrician IV: Rise of a Dynasty
632,620,2011,95,Portal 2
634,91600,2011,70,Sanctum
639,98200,2011,85,Frozen Synapse
642,22450,2011,61,Hunted: The Demon’s Forge™
643,42140,2011,77,Hamilton's Great Adventure
644,47898,2011,70,The Sims™ 3 Generations
647,9992,2011,43,Ghostbusters: Sanctum of Slime Challenge Pack DLC
648,46490,2009,67,Still Life 2
649,46480,2005,75,Still Life
651,39160,2011,72,Dungeon Siege III
652,57900,2011,54,Duke Nukem Forever
654,9880,2009,72,Champions Online
655,99900,2011,64,Spiral Knights
660,49470,2011,77,Magic: The Gathering - Duels of the Planeswalkers 2012
664,97000,2011,72,Solar 2
669,21100,2011,74,F.E.A.R. 3
685,94590,2011,63,Puzzle Agent 2
688,105700,2011,75,Tobe's Vertical Adventure
691,63950,2011,60,IL-2 Sturmovik: Cliffs of Dover
695,102200,2011,69,Runespell: Overture
704,57690,2011,78,Tropico 4
709,38740,2011,74,EDGE
714,107200,2011,74,Space Pirates and Zombies
719,72760,2011,57,Fallout New Vegas®: Lonesome Road™
721,18070,2011,63,The Baconing
722,55150,2011,74,"Warhammer 40,000: Space Marine"
723,63940,2011,68,Men of War: Vietnam
724,98400,2012,73,Hard Reset Extended Edition
727,22230,2011,74,Rock of Ages
728,35450,2011,76,Red Orchestra 2: Heroes of Stalingrad with Rising Storm
729,33420,2011,51,Call of Juarez®: The Cartel
732,73210,2011,70,Sengoku
735,200440,2011,78,Two Worlds II - Pirates of the Flying Fortress
738,48220,2011,77,Might &amp; Magic: Heroes VI
739,9420,2011,81,Supreme Commander: Forged Alliance
740,113200,2011,84,The Binding of Isaac
742,200230,2011,60,Off-Road Drive
743,9350,2007,86,Supreme Commander
744,901776,2011,70,Fate of the World: Tipping Point
